modelo,n_features,auc,delta_vs_base,captura_05,captura_10,captura_20,captura_50
A. Ficha de admision (base),14,0.616735737148476,0.0,0.09721530450532036,0.17767715644102333,0.31609689834729454,0.6393026941362916
B. Base + asistencia de ens. media,18,0.6220680684905029,0.00533233134202693,0.10079239302694136,0.18003169572107766,0.3216210097351143,0.6461851935702966
C. Base + socioeconomico,21,0.631122543610927,0.014386806462451052,0.10749377405478831,0.19098935929363822,0.33239755490151685,0.6541996830427892
D. Base + ambos,25,0.6356411057373692,0.018905368588893245,0.10835408648403894,0.19470228661987773,0.3382839031016527,0.6623047317183609
E. Solo asistencia de ens. media,4,0.5434103482377737,-0.07332538891070228,0.07552637536789676,0.1453928005433552,0.2687797147385103,0.5473851030110936
