cohorte,instrumento,ua_puntaje,sistema_puntaje_medio,ua_percentil,sistema_percentil_mediano,posicion_ua,universidades,ua_cobertura
2021,PDT,524.2966292134831,533.0506535079293,0.5847705094572627,0.5856222358489114,0.48,50,0.8397666838222679
2022,PDT,515.516835660991,533.7910579107764,0.5404823351208208,0.5777371433404548,0.39215686274509803,51,0.8810045508174617
2023,PAES,610.2018066679084,619.8096138441396,0.5547998833568509,0.5441233697788042,0.5098039215686274,51,0.8669465525593412
2024,PAES,624.2990899544977,634.5142322236843,0.5580110729780209,0.5578306429079423,0.5,50,0.8824710424710425
2025,PAES,626.5120286640505,638.9650664295657,0.5403056548991186,0.5371425854670618,0.5102040816326531,49,0.8797658360852597
