week,weeks_remaining,n_train,n_test,prevalence,auc,brier,lift_05,lift_10,lift_20
4,35,10125,13144,0.3293517954960438,0.6971097324472254,0.23369858392605264,0.05382305382305382,0.15523215523215522,0.33633633633633636
8,31,10125,13144,0.3293517954960438,0.7534258068007359,0.21186629934258971,0.10325710325710326,0.1938091938091938,0.37537537537537535
12,27,10125,13144,0.3293517954960438,0.8005423198843507,0.1815337973909537,0.14275814275814275,0.2644952644952645,0.4358974358974359
16,23,10125,13144,0.3293517954960438,0.8239897212103678,0.1785673122716056,0.14483714483714483,0.276969276969277,0.4587664587664588
20,19,10125,13144,0.3293517954960438,0.8397675873002021,0.17810115847067903,0.14991914991914992,0.27743127743127743,0.465003465003465
26,13,10125,13144,0.3293517954960438,0.8593883119124185,0.17770747242025464,0.1506121506121506,0.28967428967428965,0.4867174867174867
