cohorte,nomb_sede,n,misma_carrera,misma_universidad,sistema,sin_mrun,con_cod_carrera,retencion_misma_carrera,retencion_misma_universidad,retencion_sistema,cobertura_cod_carrera
2025,CASA CENTRAL (TEMUCO),201,172,180,191,0,201,0.8557213930348259,0.8955223880597015,0.9502487562189055,1.0
2025,CAMPUS PROVIDENCIA,270,231,235,250,0,270,0.8555555555555555,0.8703703703703703,0.9259259259259259,1.0
2025,CAMPUS EL LLANO,98,78,80,89,0,98,0.7959183673469388,0.8163265306122449,0.9081632653061225,1.0
2025,SEDE TALCA,150,118,129,137,0,150,0.7866666666666666,0.86,0.9133333333333333,1.0
