momento,detalle,auc,n,anticipacion
Antes de entrar a la universidad,"Expediente completo: PAES, NEM, ranking, colegio, asistencia de enseñanza media, decil de ingreso, becas",0.6356411057373692,135050,Antes del primer día de clases
Semana 4 del curso,"Solo comportamiento observado en la plataforma. Sin asistencia, sin datos previos al ingreso",0.6971097324472254,13144,Quedan 35 semanas para actuar
